# Ce fichier CSV contient des données d'exemple pour tester le pipeline.
# VOLONTAIREMENT IMPARFAIT pour tester la robustesse du pipeline :
#   - Ligne 3 : "value" est vide (champ manquant → devrait être invalidé)
#   - Ligne 6 : "value" est "N/A" (pas un nombre → nettoyage nécessaire)
#   - Ligne 9 : "timestamp" est vide (champ requis manquant → invalide)
# Ces cas permettent de vérifier que le pipeline gère bien les données sales.
#
# Colonnes :
#   id        : identifiant unique du record
#   timestamp : date/heure de l'événement (format ISO 8601)
#   value     : valeur numérique associée à l'événement
#   category  : catégorie métier (A, B ou C)
#   name      : nom du projet/service
#   region    : zone géographique (EU, US, APAC)
id,timestamp,value,category,name,region
1,2024-01-15T10:30:00,42.5,A,Alpha Project,EU
2,2024-01-15T11:00:00,87.3,B,Beta Service,US
3,2024-01-15T11:30:00,,A,Gamma Tool,EU
4,2024-01-15T12:00:00,156.8,C,Delta Platform,APAC
5,2024-01-15T12:30:00,23.1,A,Epsilon System,US
6,2024-01-15T13:00:00,N/A,B,Zeta App,EU
7,2024-01-15T13:30:00,445.0,A,Eta Dashboard,US
8,2024-01-15T14:00:00,12.9,C,Theta API,APAC
9,,67.4,B,Iota Module,EU
10,2024-01-15T15:00:00,89.2,A,Kappa Engine,US
